Unnamed: 0,Run,Experiment,OverallScores
0,1,Classic VDB + Naive RAG,"{'retrieval_precision': 0.6978193146417446, 'answer_similarity': 3.046728971962617}"
1,2,Classic VDB + Naive RAG,"{'retrieval_precision': 0.6697819314641745, 'answer_similarity': 3.0841121495327104}"
2,3,Classic VDB + Naive RAG,"{'retrieval_precision': 0.7040498442367601, 'answer_similarity': 3.1588785046728973}"
3,4,Classic VDB + Naive RAG,"{'retrieval_precision': 0.7196261682242994, 'answer_similarity': 3.102803738317757}"
4,5,Classic VDB + Naive RAG,"{'retrieval_precision': 0.7009345794392524, 'answer_similarity': 3.1401869158878504}"
5,6,Classic VDB + Naive RAG,"{'retrieval_precision': 0.7227414330218069, 'answer_similarity': 3.1682242990654204}"
6,7,Classic VDB + Naive RAG,"{'retrieval_precision': 0.6884735202492214, 'answer_similarity': 3.1401869158878504}"
7,8,Classic VDB + Naive RAG,"{'retrieval_precision': 0.6853582554517136, 'answer_similarity': 3.074766355140187}"
8,9,Classic VDB + Naive RAG,"{'retrieval_precision': 0.7071651090342681, 'answer_similarity': 3.0841121495327104}"
9,10,Classic VDB + Naive RAG,"{'retrieval_precision': 0.679127725856698, 'answer_similarity': 3.130841121495327}"
10,1,Classic VDB + Cohere Rerank,"{'retrieval_precision': 0.7133956386292836, 'answer_similarity': 3.177570093457944}"
11,2,Classic VDB + Cohere Rerank,"{'retrieval_precision': 0.7227414330218069, 'answer_similarity': 3.1401869158878504}"
12,3,Classic VDB + Cohere Rerank,"{'retrieval_precision': 0.7227414330218068, 'answer_similarity': 3.074766355140187}"
13,4,Classic VDB + Cohere Rerank,"{'retrieval_precision': 0.6978193146417445, 'answer_similarity': 3.1401869158878504}"
14,5,Classic VDB + Cohere Rerank,"{'retrieval_precision': 0.6947040498442368, 'answer_similarity': 3.149532710280374}"
15,6,Classic VDB + Cohere Rerank,"{'retrieval_precision': 0.7196261682242991, 'answer_similarity': 3.130841121495327}"
16,7,Classic VDB + Cohere Rerank,"{'retrieval_precision': 0.7196261682242991, 'answer_similarity': 3.205607476635514}"
17,8,Classic VDB + Cohere Rerank,"{'retrieval_precision': 0.7009345794392522, 'answer_similarity': 3.1121495327102804}"
18,9,Classic VDB + Cohere Rerank,"{'retrieval_precision': 0.7040498442367601, 'answer_similarity': 3.1682242990654204}"
19,10,Classic VDB + Cohere Rerank,"{'retrieval_precision': 0.7289719626168223, 'answer_similarity': 3.177570093457944}"
20,1,Classic VDB + LLM Rerank,"{'retrieval_precision': 0.7414330218068537, 'answer_similarity': 3.1869158878504673}"
21,2,Classic VDB + LLM Rerank,"{'retrieval_precision': 0.7289719626168227, 'answer_similarity': 3.1121495327102804}"
22,3,Classic VDB + LLM Rerank,"{'retrieval_precision': 0.7538940809968848, 'answer_similarity': 3.1869158878504673}"
23,4,Classic VDB + LLM Rerank,"{'retrieval_precision': 0.7414330218068538, 'answer_similarity': 3.149532710280374}"
24,5,Classic VDB + LLM Rerank,"{'retrieval_precision': 0.7367601246105923, 'answer_similarity': 3.1682242990654204}"
25,6,Classic VDB + LLM Rerank,"{'retrieval_precision': 0.7507788161993773, 'answer_similarity': 3.102803738317757}"
26,7,Classic VDB + LLM Rerank,"{'retrieval_precision': 0.7647975077881622, 'answer_similarity': 3.177570093457944}"
27,8,Classic VDB + LLM Rerank,"{'retrieval_precision': 0.7538940809968849, 'answer_similarity': 3.196261682242991}"
28,9,Classic VDB + LLM Rerank,"{'retrieval_precision': 0.7492211838006232, 'answer_similarity': 3.121495327102804}"
29,10,Classic VDB + LLM Rerank,"{'retrieval_precision': 0.7679127725856698, 'answer_similarity': 3.1588785046728973}"
30,1,Classic VDB + HyDE,"{'retrieval_precision': 0.769470404984424, 'answer_similarity': 3.05607476635514}"
31,2,Classic VDB + HyDE,"{'retrieval_precision': 0.7601246105919006, 'answer_similarity': 3.074766355140187}"
32,3,Classic VDB + HyDE,"{'retrieval_precision': 0.769470404984424, 'answer_similarity': 3.177570093457944}"
33,4,Classic VDB + HyDE,"{'retrieval_precision': 0.7632398753894084, 'answer_similarity': 3.121495327102804}"
34,5,Classic VDB + HyDE,"{'retrieval_precision': 0.7570093457943928, 'answer_similarity': 3.1401869158878504}"
35,6,Classic VDB + HyDE,"{'retrieval_precision': 0.7570093457943928, 'answer_similarity': 3.0186915887850465}"
36,7,Classic VDB + HyDE,"{'retrieval_precision': 0.7476635514018696, 'answer_similarity': 3.0654205607476634}"
37,8,Classic VDB + HyDE,"{'retrieval_precision': 0.7632398753894084, 'answer_similarity': 3.0934579439252334}"
38,9,Classic VDB + HyDE,"{'retrieval_precision': 0.7601246105919006, 'answer_similarity': 3.1588785046728973}"
39,10,Classic VDB + HyDE,"{'retrieval_precision': 0.7757009345794398, 'answer_similarity': 3.102803738317757}"
40,1,Classic VDB + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7570093457943926, 'answer_similarity': 3.1588785046728973}"
41,2,Classic VDB + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7352024922118381, 'answer_similarity': 3.1869158878504673}"
42,3,Classic VDB + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7352024922118382, 'answer_similarity': 3.205607476635514}"
43,4,Classic VDB + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7102803738317757, 'answer_similarity': 3.149532710280374}"
44,5,Classic VDB + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7414330218068539, 'answer_similarity': 3.1869158878504673}"
45,6,Classic VDB + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7258566978193147, 'answer_similarity': 3.1869158878504673}"
46,7,Classic VDB + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7414330218068539, 'answer_similarity': 3.2710280373831777}"
47,8,Classic VDB + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7538940809968849, 'answer_similarity': 3.196261682242991}"
48,9,Classic VDB + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7258566978193148, 'answer_similarity': 3.196261682242991}"
49,10,Classic VDB + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7196261682242991, 'answer_similarity': 3.1682242990654204}"
50,1,Classic VDB + HyDE + LLM Rerank,"{'retrieval_precision': 0.7538940809968852, 'answer_similarity': 3.1682242990654204}"
51,2,Classic VDB + HyDE + LLM Rerank,"{'retrieval_precision': 0.7788161993769471, 'answer_similarity': 3.205607476635514}"
52,3,Classic VDB + HyDE + LLM Rerank,"{'retrieval_precision': 0.7538940809968849, 'answer_similarity': 3.121495327102804}"
53,4,Classic VDB + HyDE + LLM Rerank,"{'retrieval_precision': 0.7881619937694703, 'answer_similarity': 3.205607476635514}"
54,5,Classic VDB + HyDE + LLM Rerank,"{'retrieval_precision': 0.7647975077881621, 'answer_similarity': 3.130841121495327}"
55,6,Classic VDB + HyDE + LLM Rerank,"{'retrieval_precision': 0.7672955974842768, 'answer_similarity': 3.1869158878504673}"
56,7,Classic VDB + HyDE + LLM Rerank,"{'retrieval_precision': 0.766355140186916, 'answer_similarity': 3.1121495327102804}"
57,8,Classic VDB + HyDE + LLM Rerank,"{'retrieval_precision': 0.7741433021806856, 'answer_similarity': 3.1588785046728973}"
58,9,Classic VDB + HyDE + LLM Rerank,"{'retrieval_precision': 0.8068535825545171, 'answer_similarity': 3.121495327102804}"
59,10,Classic VDB + HyDE + LLM Rerank,"{'retrieval_precision': 0.7694704049844238, 'answer_similarity': 3.130841121495327}"
60,1,Classic VDB + Maximal Marginal Relevance (MMR),"{'retrieval_precision': 0.7258566978193149, 'answer_similarity': 3.0934579439252334}"
61,2,Classic VDB + Maximal Marginal Relevance (MMR),"{'retrieval_precision': 0.722741433021807, 'answer_similarity': 3.1121495327102804}"
62,3,Classic VDB + Maximal Marginal Relevance (MMR),"{'retrieval_precision': 0.7196261682242991, 'answer_similarity': 3.1682242990654204}"
63,4,Classic VDB + Maximal Marginal Relevance (MMR),"{'retrieval_precision': 0.7227414330218072, 'answer_similarity': 3.205607476635514}"
64,5,Classic VDB + Maximal Marginal Relevance (MMR),"{'retrieval_precision': 0.7196261682242995, 'answer_similarity': 3.130841121495327}"
65,6,Classic VDB + Maximal Marginal Relevance (MMR),"{'retrieval_precision': 0.7071651090342681, 'answer_similarity': 3.102803738317757}"
66,7,Classic VDB + Maximal Marginal Relevance (MMR),"{'retrieval_precision': 0.7071651090342683, 'answer_similarity': 3.2242990654205608}"
67,8,Classic VDB + Maximal Marginal Relevance (MMR),"{'retrieval_precision': 0.6978193146417448, 'answer_similarity': 3.1121495327102804}"
68,9,Classic VDB + Maximal Marginal Relevance (MMR),"{'retrieval_precision': 0.6915887850467289, 'answer_similarity': 3.0934579439252334}"
69,10,Classic VDB + Maximal Marginal Relevance (MMR),"{'retrieval_precision': 0.7165109034267915, 'answer_similarity': 3.121495327102804}"
70,1,Classic VDB + Multi Query + Reciprocal,"{'retrieval_precision': 0.6479750778816199, 'answer_similarity': 2.925233644859813}"
71,2,Classic VDB + Multi Query + Reciprocal,"{'retrieval_precision': 0.6728971962616821, 'answer_similarity': 3.0841121495327104}"
72,3,Classic VDB + Multi Query + Reciprocal,"{'retrieval_precision': 0.660436137071651, 'answer_similarity': 2.953271028037383}"
73,4,Classic VDB + Multi Query + Reciprocal,"{'retrieval_precision': 0.6448598130841119, 'answer_similarity': 2.9906542056074765}"
74,5,Classic VDB + Multi Query + Reciprocal,"{'retrieval_precision': 0.6323987538940807, 'answer_similarity': 3.121495327102804}"
75,6,Classic VDB + Multi Query + Reciprocal,"{'retrieval_precision': 0.660436137071651, 'answer_similarity': 3.046728971962617}"
76,7,Classic VDB + Multi Query + Reciprocal,"{'retrieval_precision': 0.6261682242990654, 'answer_similarity': 3.02803738317757}"
77,8,Classic VDB + Multi Query + Reciprocal,"{'retrieval_precision': 0.6230529595015576, 'answer_similarity': 3.0654205607476634}"
78,9,Classic VDB + Multi Query + Reciprocal,"{'retrieval_precision': 0.6168224299065419, 'answer_similarity': 3.0373831775700935}"
79,10,Classic VDB + Multi Query + Reciprocal,"{'retrieval_precision': 0.6479750778816197, 'answer_similarity': 2.94392523364486}"
80,1,Classic VDB + Multi Query + Cohere rerank,"{'retrieval_precision': 0.6510903426791275, 'answer_similarity': 3.0373831775700935}"
81,2,Classic VDB + Multi Query + Cohere rerank,"{'retrieval_precision': 0.6915887850467289, 'answer_similarity': 3.046728971962617}"
82,3,Classic VDB + Multi Query + Cohere rerank,"{'retrieval_precision': 0.7040498442367602, 'answer_similarity': 3.02803738317757}"
83,4,Classic VDB + Multi Query + Cohere rerank,"{'retrieval_precision': 0.672897196261682, 'answer_similarity': 3.02803738317757}"
84,5,Classic VDB + Multi Query + Cohere rerank,"{'retrieval_precision': 0.6884735202492211, 'answer_similarity': 3.05607476635514}"
85,6,Classic VDB + Multi Query + Cohere rerank,"{'retrieval_precision': 0.7165109034267911, 'answer_similarity': 3.0841121495327104}"
